Geneid	SRR11262284	SRR11262285	SRR11262286	SRR11262292	SRR11262293	SRR11262294
ENSG00000232768	0	0	0	4	15	2
ENSG00000230214	0	0	0	0	0	0
ENSG00000189280	2	16	15	1813	505	864
ENSG00000134698	1527	1133	1395	798	238	1456
ENSG00000134690	65	58	30	885	757	1204
ENSG00000272420	4	12	0	27	18	63
ENSG00000132881	188	166	115	181	182	115
ENSG00000273274	0	7	0	2	2	176
ENSG00000272510	0	0	0	0	0	0
ENSG00000236648	0	6	0	0	0	0
ENSG00000232273	0	0	0	4	2	0
ENSG00000009709	0	2	0	0	0	0
ENSG00000287396	0	0	0	0	0	0
ENSG00000223589	0	0	0	0	0	0
ENSG00000158008	50	30	18	18	6	26
ENSG00000130940	1130	677	636	694	48	342
ENSG00000116771	17	30	12	190	110	143
ENSG00000237301	4	2	0	4	4	11
ENSG00000163879	1083	696	1333	57	153	54
ENSG00000227527	0	0	1	7	4	14
ENSG00000116954	716	713	1401	798	957	1115
ENSG00000228589	137	233	234	455	562	475
ENSG00000163873	2	9	0	0	2	4
ENSG00000117215	36	28	34	126	156	3686
ENSG00000196449	411	552	948	690	564	819
ENSG00000230163	0	0	0	0	0	0
ENSG00000227538	0	0	0	0	0	0
ENSG00000236500	0	0	0	2	0	4
ENSG00000044012	36	34	17	0	0	0
ENSG00000179051	2058	1792	2033	7474	2060	8152
ENSG00000215895	0	1	0	5	5	6
ENSG00000284650	0	0	1	0	0	0
ENSG00000237329	0	2	0	0	1	3
ENSG00000236948	0	0	0	0	0	0
ENSG00000126067	3048	2932	3276	7337	9126	6034
ENSG00000274944	0	0	0	2	0	0
ENSG00000132906	649	443	1156	366	574	539
ENSG00000197312	1184	648	612	2336	787	1824
ENSG00000284748	2	2	3	0	0	0
ENSG00000272078	20	39	37	31	29	7
ENSG00000173660	2057	4611	2435	4174	7287	5788
ENSG00000224592	3	0	4	3	0	2
ENSG00000233728	0	0	0	0	0	0
ENSG00000230451	0	0	0	0	0	0
ENSG00000231606	10	21	1	0	2	2
ENSG00000215900	0	0	0	0	0	4
ENSG00000284632	0	0	0	0	1	4
ENSG00000241014	2	13	4	21	0	7
ENSG00000054118	4447	2139	3302	4439	2542	5244
ENSG00000254553	0	0	0	0	0	4
ENSG00000284653	0	0	0	0	0	0
ENSG00000237749	0	5	5	0	3	2
ENSG00000276747	0	0	12	0	0	0
ENSG00000284705	0	0	0	0	0	0
ENSG00000228776	0	0	0	0	0	0
ENSG00000159339	51	103	304	9	10	29
ENSG00000197982	1424	2021	1532	2066	4993	1724
ENSG00000261781	0	0	0	0	0	0
ENSG00000183317	32	14	34	34	48	10
ENSG00000183386	442	526	685	1262	1497	667
ENSG00000284743	0	0	0	0	0	0
ENSG00000158315	66	53	26	749	158	125
ENSG00000204084	701	770	520	396	180	682
ENSG00000186973	142	84	177	34	20	65
ENSG00000146463	1460	1328	1047	2047	529	2420
ENSG00000183520	752	1215	1418	1453	1369	1311
ENSG00000271741	0	0	0	0	0	0
ENSG00000214141	0	0	0	0	0	2
ENSG00000142686	734	560	782	574	442	395
ENSG00000224751	0	0	0	0	0	0
ENSG00000117148	0	0	0	0	2	4
ENSG00000230585	0	2	4	4	4	0
ENSG00000117000	698	706	1842	837	318	1011
ENSG00000284989	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0
ENSG00000092853	85	30	38	1566	1910	1689
ENSG00000255811	0	0	0	0	0	3
ENSG00000134697	1238	1009	2218	2416	1543	3067
ENSG00000187513	910	1354	1777	162	113	245
ENSG00000238145	22	0	2	0	0	4
ENSG00000225142	0	0	0	0	0	0
ENSG00000230138	4	16	0	0	2	12
ENSG00000223390	0	0	0	0	0	2
ENSG00000284720	0	0	0	0	0	0
ENSG00000225671	0	0	0	1	0	5
ENSG00000116151	153	99	150	247	218	244
ENSG00000226147	0	0	0	0	0	0
ENSG00000006555	601	183	218	1174	233	442
ENSG00000236111	0	0	0	0	0	0
ENSG00000066056	1655	3290	2201	915	327	582
ENSG00000214114	488	748	550	1146	602	598
ENSG00000116544	68	27	64	28	106	51
ENSG00000231900	0	0	0	0	0	0
ENSG00000236723	0	9	0	6	2	7
ENSG00000232467	0	0	0	0	0	4
ENSG00000117016	624	305	286	274	115	72
ENSG00000121310	1468	993	1104	1535	1235	2471
ENSG00000169213	10	4	12	114	891	187
ENSG00000163866	1193	2778	2741	1192	2418	1007
ENSG00000225779	0	0	0	0	0	0
ENSG00000284601	0	0	0	2	0	0
ENSG00000237130	0	0	0	0	2	0
ENSG00000143001	22	19	25	47	70	5
ENSG00000227416	1	0	0	0	0	0
ENSG00000232335	0	0	0	0	0	0
ENSG00000260971	10	0	6	0	2	4
ENSG00000259832	0	6	0	0	0	0
ENSG00000284696	0	0	0	0	0	0
ENSG00000238242	0	0	0	0	0	0
ENSG00000285839	0	0	0	0	0	0
ENSG00000237290	0	0	0	0	0	0
ENSG00000232762	0	0	0	0	0	2
ENSG00000117419	1646	2025	1726	2142	3474	2737
ENSG00000162384	821	1606	1110	861	969	1110
ENSG00000162391	10	2	0	19	6	15
ENSG00000174348	4866	665	1485	647	51	943
ENSG00000117859	3461	3248	2520	1553	1046	1888
ENSG00000228121	2	0	0	0	0	0
ENSG00000253313	418	661	355	266	283	79
ENSG00000162396	80	181	78	119	137	190
ENSG00000203995	6	6	4	14	19	104
ENSG00000284686	6	1	8	0	0	2
ENSG00000162378	1761	1665	810	982	522	1232
ENSG00000233079	0	0	0	0	0	0
ENSG00000259818	0	2	1	0	0	0
ENSG00000229444	0	0	0	4	2	10
ENSG00000240563	198	102	144	6	0	16
ENSG00000234318	0	0	0	0	2	0
ENSG00000284773	35	21	17	16	16	24
ENSG00000234481	0	0	0	0	0	0
ENSG00000117862	150	339	379	252	104	211
ENSG00000235612	0	0	0	0	0	0
ENSG00000228369	0	0	0	3	3	2
ENSG00000183431	2098	2117	1877	2880	3820	3146
ENSG00000227485	8	0	0	0	0	0
ENSG00000224609	4	9	9	2	8	6
ENSG00000235545	2	4	4	8	4	28
ENSG00000236646	0	0	0	0	0	1
ENSG00000232198	0	2	0	0	0	0
ENSG00000238063	0	0	0	0	0	0
ENSG00000227104	0	0	0	0	0	0
ENSG00000243725	15	40	23	34	17	23
ENSG00000171872	46	33	24	11	12	2
ENSG00000162407	8188	3148	7716	1553	546	1616
ENSG00000285079	0	0	0	0	0	0
ENSG00000169218	1023	262	250	8	10	18
ENSG00000163877	519	466	558	538	382	587
ENSG00000228929	29	222	189	48	104	73
ENSG00000224570	0	0	0	0	0	2
ENSG00000224980	0	0	0	0	0	0
ENSG00000278967	0	0	0	0	3	0
ENSG00000157184	400	388	313	428	214	342
ENSG00000198815	1619	888	1439	1594	559	1784
ENSG00000134744	1096	705	796	813	304	2148
ENSG00000233910	0	0	0	0	0	0
ENSG00000287703	1	0	0	0	0	0
ENSG00000283039	0	0	0	0	0	0
ENSG00000229032	0	0	0	0	0	0
ENSG00000229294	0	0	0	0	0	0
ENSG00000232993	0	0	0	0	0	0
ENSG00000234088	0	0	0	0	0	0
ENSG00000236973	0	0	0	0	0	0
ENSG00000277397	0	0	0	0	0	0
ENSG00000271200	9	4	6	2	0	8
ENSG00000235446	0	0	0	0	0	0
ENSG00000261196	0	0	0	0	0	0
ENSG00000162385	698	1008	1065	1236	1446	2443
ENSG00000234264	0	0	0	0	6	4
ENSG00000242391	0	0	0	0	0	1
ENSG00000223883	0	0	0	0	0	2
ENSG00000284808	0	0	0	0	0	0
ENSG00000237227	0	0	0	0	0	0
ENSG00000275350	0	0	1	0	0	0
ENSG00000116652	1	0	0	7	0	22
ENSG00000123080	572	636	187	1027	315	485
ENSG00000285778	0	0	2	0	0	0
ENSG00000233407	0	0	0	0	0	0
ENSG00000225675	0	0	0	0	4	0
ENSG00000237622	0	0	0	0	0	0
ENSG00000162598	166	42	83	0	0	0
ENSG00000280317	0	0	0	0	0	0
ENSG00000162415	341	107	88	141	0	64
ENSG00000162600	305	472	184	381	183	397
ENSG00000116704	464	300	331	1212	153	871
ENSG00000227644	0	0	0	0	0	0
ENSG00000157193	136	62	73	666	275	367
ENSG00000116205	449	401	194	532	246	500
ENSG00000198841	79	97	117	103	236	141
ENSG00000116212	705	705	1265	1333	1409	1024
ENSG00000234204	0	0	0	0	0	0
ENSG00000233099	0	0	0	0	0	0
ENSG00000233994	3	5	4	4	1	2
ENSG00000233973	0	0	0	0	0	0
ENSG00000237552	0	2	0	0	0	0
ENSG00000132854	1349	277	138	54	58	22
ENSG00000227556	2	0	0	0	0	0
ENSG00000162607	1212	1722	1256	2577	1152	3277
ENSG00000233602	0	0	2	4	0	8
ENSG00000233271	0	0	0	0	0	0
ENSG00000285954	0	1	4	0	0	3
ENSG00000233333	0	0	0	0	0	0
ENSG00000154027	4	9	4	14	4	17
ENSG00000234108	0	0	0	0	0	0
ENSG00000232676	2	0	0	0	0	0
ENSG00000225167	0	0	0	0	0	0
ENSG00000213579	0	1	0	0	0	0
ENSG00000137960	171	473	191	6	8	17
ENSG00000237852	0	0	0	1	5	0
ENSG00000116745	0	0	0	0	0	0
ENSG00000132855	4	0	0	0	0	4
ENSG00000285407	0	2	0	0	3	111
ENSG00000272855	2	0	0	0	0	0
ENSG00000270549	0	0	0	0	0	0
ENSG00000237163	0	0	0	0	4	0
ENSG00000229636	0	0	0	2	0	0
ENSG00000116675	198	175	191	96	172	53
ENSG00000162433	127	54	127	2407	1630	1142
ENSG00000213625	5455	7393	5591	3904	4025	1859
ENSG00000227207	0	0	0	0	0	0
ENSG00000227016	0	0	0	0	0	1
ENSG00000233664	0	0	0	0	1	0
ENSG00000158966	1106	679	1295	923	21	1017
ENSG00000213703	0	2	0	3	6	0
ENSG00000203965	188	245	85	121	76	399
ENSG00000223479	0	0	0	0	0	0
ENSG00000233674	0	0	0	0	0	0
ENSG00000153898	229	188	252	83	72	443
ENSG00000117069	1718	1079	1130	279	856	313
ENSG00000125703	362	768	241	446	333	462
ENSG00000285041	0	0	0	0	0	0
ENSG00000285808	0	0	0	0	0	13
ENSG00000229440	0	0	0	0	0	0
ENSG00000234144	0	0	0	0	0	0
ENSG00000213540	0	0	0	0	0	10
ENSG00000277670	0	0	0	0	0	0
ENSG00000227466	0	0	0	0	0	0
ENSG00000154007	0	0	0	0	0	0
ENSG00000230498	0	0	0	0	0	0
ENSG00000285782	0	0	0	0	0	0
ENSG00000162618	517	1507	1510	348	851	321
ENSG00000224493	0	0	0	0	0	0
ENSG00000131233	0	0	4	0	0	2
ENSG00000272371	2	0	0	0	0	0
ENSG00000287647	0	2	6	0	0	0
ENSG00000229225	0	0	0	0	0	0
ENSG00000230863	0	0	0	8	8	0
ENSG00000287224	0	0	0	2	0	0
ENSG00000225598	0	0	0	0	0	2
ENSG00000286455	0	0	0	0	0	0
ENSG00000225087	0	1	2	6	0	65
ENSG00000280378	0	7	2	8	28	33
ENSG00000188786	964	499	967	1221	512	724
ENSG00000230053	0	0	0	0	4	0
ENSG00000137941	878	389	813	114	67	197
ENSG00000224326	0	0	0	0	0	0
ENSG00000286548	16	12	20	22	8	61
ENSG00000066135	636	366	281	441	279	873
ENSG00000230027	0	0	0	0	0	0
ENSG00000233061	3	0	0	0	2	2
ENSG00000272094	0	0	0	0	8	4
ENSG00000228853	0	0	0	0	0	0
ENSG00000215874	0	0	0	1	0	0
ENSG00000232453	51	56	29	34	214	27
ENSG00000260386	2	0	0	2	37	0
ENSG00000284895	0	0	0	0	0	0
ENSG00000117174	564	425	477	1050	977	1025
ENSG00000237413	65	58	103	0	0	0
ENSG00000184313	15	5	0	3	11	16
ENSG00000284645	0	0	0	0	2	2
ENSG00000225605	1	0	0	0	0	0
ENSG00000225446	8	0	0	0	0	0
ENSG00000288543	17	28	12	0	4	0
ENSG00000122420	138	114	99	47	18	44
ENSG00000284240	5	8	0	4	2	0
ENSG00000236290	0	0	0	2	0	0
ENSG00000143013	3247	2853	1618	2275	2442	3740
ENSG00000226084	214	577	323	218	536	405
ENSG00000134748	1672	1948	1857	1801	1422	2334
ENSG00000142892	1087	1257	905	1074	826	653
ENSG00000219102	4	6	4	8	3	5
ENSG00000184005	177	581	314	13	16	53
ENSG00000230953	1	6	2	20	4	6
ENSG00000287743	4	2	4	4	0	0
ENSG00000229332	0	0	0	0	0	0
ENSG00000227937	0	0	0	0	0	0
ENSG00000229752	0	0	0	0	0	0
ENSG00000237505	19	4	14	7	6	18
ENSG00000285462	0	0	0	0	0	0
ENSG00000233216	0	0	0	0	0	0
ENSG00000197273	19	36	21	0	0	6
ENSG00000226804	0	0	0	0	0	0
ENSG00000230728	0	8	0	0	0	2
ENSG00000232846	0	6	0	0	0	0
ENSG00000230787	0	0	0	0	0	0
ENSG00000116641	974	577	622	1133	741	1799
ENSG00000223920	0	0	0	0	0	2
ENSG00000237453	0	0	0	1	0	0
ENSG00000172260	1485	558	463	24	214	79
ENSG00000285473	0	8	0	0	0	9
ENSG00000237959	0	0	0	0	0	0
ENSG00000231364	0	0	0	0	0	0
ENSG00000234578	0	0	0	0	0	0
ENSG00000117480	713	517	570	393	458	768
ENSG00000137944	667	540	573	944	489	804
ENSG00000229505	0	0	0	2	0	0
ENSG00000228187	0	0	0	0	0	0
ENSG00000285201	0	0	0	0	0	0
ENSG00000182183	36	79	62	18	22	55
ENSG00000236407	0	0	0	0	0	0
ENSG00000271949	0	0	0	0	0	0
ENSG00000227062	0	0	0	0	0	0
ENSG00000067334	1882	2252	5595	2520	2697	2579
ENSG00000235011	0	0	0	0	0	0
ENSG00000235673	0	4	0	0	0	0
ENSG00000226938	0	0	0	0	0	0
ENSG00000213559	0	0	0	0	0	0
ENSG00000287587	2	0	0	0	0	0
ENSG00000142949	9879	4742	7362	31970	7738	25893
ENSG00000116133	23792	20001	23473	8728	13905	5624
ENSG00000232882	11	0	12	48	4	24
ENSG00000171502	43	20	4	89	22	55
ENSG00000162399	0	10	3	0	0	12
ENSG00000116157	339	561	185	354	197	1478
ENSG00000143036	861	777	497	663	566	206
ENSG00000232672	0	0	0	0	0	0
ENSG00000230817	0	0	0	0	0	2
ENSG00000065243	1661	1965	1274	1668	1055	1920
ENSG00000226759	0	0	0	2	0	0
ENSG00000226960	0	0	0	0	0	2
ENSG00000234080	0	4	0	0	0	0
ENSG00000237899	2	6	1	5	6	1
ENSG00000223905	0	0	0	0	0	0
ENSG00000227290	0	2	0	0	0	2
ENSG00000229486	0	0	0	0	0	0
ENSG00000282898	0	0	0	0	0	0
ENSG00000285409	0	0	0	0	0	0
ENSG00000231090	0	0	0	0	0	0
ENSG00000117528	1663	2339	1653	1050	840	1216
ENSG00000271723	0	0	0	0	0	0
ENSG00000172339	351	507	385	279	387	273
ENSG00000036549	967	1101	852	1291	861	1253
ENSG00000287724	0	0	0	0	2	0
ENSG00000058799	791	1044	878	1598	2898	992
ENSG00000225191	0	0	0	0	0	0
ENSG00000287870	0	0	0	0	0	0
ENSG00000235563	4	0	0	0	0	0
ENSG00000232048	0	0	0	0	0	0
ENSG00000232857	0	0	0	0	0	0
ENSG00000273637	0	0	0	0	0	0
ENSG00000203985	312	81	243	16	26	0
ENSG00000228838	0	0	0	0	2	0
ENSG00000283761	2	8	7	5	1	10
ENSG00000189433	0	0	2	48	228	78
ENSG00000230759	0	0	0	0	0	0
ENSG00000231866	0	0	0	0	0	0
ENSG00000179178	5715	9585	6710	151	561	386
ENSG00000142700	0	0	0	289	0	2406
ENSG00000285525	0	0	0	0	0	0
ENSG00000236098	0	10	2	0	8	0
ENSG00000233514	0	0	0	1	10	4
ENSG00000127124	1001	434	1647	926	361	630
ENSG00000266993	8	2	22	11	0	9
ENSG00000223675	2	0	0	0	0	0
ENSG00000162604	712	1534	688	745	573	891
ENSG00000229316	0	0	0	0	0	1
ENSG00000116171	5419	5339	4382	3683	2098	3200
ENSG00000287406	6	0	0	0	0	4
ENSG00000225767	0	2	4	0	0	0
ENSG00000234099	0	0	0	0	0	6
ENSG00000137936	1025	897	1050	1324	3092	629
ENSG00000235308	0	2	0	0	0	0
ENSG00000232752	0	2	0	0	0	0
ENSG00000235829	0	0	0	0	0	3
ENSG00000143032	0	0	0	0	0	0
ENSG00000226745	0	2	0	0	2	0
ENSG00000178028	1181	990	629	1031	1950	1315
ENSG00000280040	0	0	0	0	8	2
ENSG00000168710	4555	3473	3797	4107	3993	4043
ENSG00000117519	10053	13146	12191	4981	5185	3805
ENSG00000270507	0	0	0	0	0	0
ENSG00000238037	0	0	0	0	0	0
ENSG00000215869	0	2	6	0	0	0
ENSG00000134215	393	409	355	1628	130	330
ENSG00000227935	0	0	0	0	0	0
ENSG00000228502	39	246	75	52	239	128
ENSG00000236268	8	0	2	4	0	2
ENSG00000271277	0	0	0	0	0	0
ENSG00000236888	0	0	0	0	0	0
ENSG00000279778	10	14	6	0	0	70
ENSG00000230955	0	0	0	0	0	0
ENSG00000230828	0	0	0	0	0	0
ENSG00000188641	2003	1762	1860	3058	1349	806
ENSG00000152078	505	527	339	12	179	637
ENSG00000237279	0	0	0	0	0	0
ENSG00000233359	0	0	0	0	8	0
ENSG00000237954	0	0	0	0	0	0
ENSG00000185668	22	14	26	10	19	69
ENSG00000171492	517	679	336	979	329	1479
ENSG00000233129	0	0	0	0	0	0
ENSG00000170989	4940	6514	11964	526	250	374
ENSG00000258634	125	44	51	226	63	111
ENSG00000233557	0	0	0	0	0	0
ENSG00000237897	5	0	0	0	0	0
ENSG00000116299	496	262	307	57	132	4984
ENSG00000137962	3864	6214	2518	577	3112	1044
ENSG00000227832	0	0	0	0	0	0
ENSG00000286692	0	0	0	4	0	0
ENSG00000260464	28	18	22	10	0	15
ENSG00000237435	0	0	0	0	0	0
ENSG00000231996	0	0	0	0	0	0
ENSG00000273204	0	2	5	0	9	0
ENSG00000079739	4301	6171	4169	4801	4147	1808
ENSG00000117154	89	120	38	79	181	10
ENSG00000162377	416	548	640	974	574	1051
ENSG00000224613	2	6	0	0	0	0
ENSG00000215871	0	0	0	0	0	0
ENSG00000287372	0	0	0	0	8	0
ENSG00000232542	0	0	0	0	0	6
ENSG00000116774	3975	2258	1254	1247	300	523
ENSG00000287756	0	0	0	0	2	6
ENSG00000284652	16	14	8	6	0	4
ENSG00000023909	958	781	2236	1802	1352	1027
ENSG00000069702	2577	2429	2354	195	183	305
ENSG00000232185	0	0	0	0	0	0
ENSG00000230489	4	2	0	0	0	0
ENSG00000228399	0	0	2	2	7	0
ENSG00000236776	0	0	2	0	0	0
ENSG00000224685	0	0	0	0	0	0
ENSG00000287076	0	1	0	0	0	0
ENSG00000237480	0	4	0	0	0	0
ENSG00000271252	0	0	0	0	0	0
ENSG00000230427	0	0	2	0	0	0
ENSG00000235794	0	0	0	0	0	0
ENSG00000286758	5	4	3	0	0	0
ENSG00000237337	0	0	0	0	0	0
ENSG00000233983	0	0	0	0	0	0
ENSG00000198198	991	540	507	1192	463	1143
ENSG00000225183	0	0	0	0	0	0
ENSG00000230402	0	0	0	0	0	0
ENSG00000116793	502	457	512	652	708	482
ENSG00000238122	0	0	0	0	0	0
ENSG00000260879	0	0	0	0	0	0
ENSG00000283354	0	0	0	0	0	0
ENSG00000232918	0	0	0	0	0	0
ENSG00000236360	0	0	0	0	0	0
ENSG00000183298	409	1232	702	146	1446	285
ENSG00000234332	8	17	11	12	23	37
ENSG00000117525	2281	1948	5398	6988	6811	1155
ENSG00000225079	15	29	4	10	0	16
ENSG00000226483	4	0	2	0	0	0
ENSG00000224238	8	8	10	1	0	0
ENSG00000229537	0	0	0	0	0	0
ENSG00000162699	0	0	0	0	0	0
ENSG00000162692	491	400	3861	824	128	2063
ENSG00000203914	0	0	5	2	3	3
ENSG00000270457	12	0	0	0	0	0
ENSG00000203858	0	0	0	0	0	0
ENSG00000231987	0	0	0	0	0	0
ENSG00000228057	1	3	2	12	0	4
ENSG00000261593	0	1	0	0	0	0
ENSG00000224445	0	0	2	0	0	0
ENSG00000229842	0	0	0	0	0	0
ENSG00000270631	0	0	0	0	0	0
ENSG00000229201	0	0	0	0	0	0
ENSG00000181656	12	1	2	6	0	23
ENSG00000122481	8	81	14	37	36	85
ENSG00000198162	2041	1803	1361	2742	1075	2561
ENSG00000238198	8	26	15	22	17	35
ENSG00000171517	86	76	201	1418	123	201
ENSG00000228852	0	0	0	0	0	13
ENSG00000203864	2	2	4	0	0	0
ENSG00000233482	0	0	0	0	0	0
ENSG00000230250	0	0	0	0	0	0
ENSG00000232878	6	0	1	0	0	4
ENSG00000143079	1410	1354	1748	1579	738	975
ENSG00000232450	13	17	10	10	18	16
ENSG00000223575	4	0	0	0	2	8
ENSG00000230768	0	0	0	0	0	0
ENSG00000235202	0	0	0	0	0	0
ENSG00000272715	0	0	0	0	3	1
ENSG00000235038	0	0	0	0	0	0
ENSG00000143093	1022	761	603	1004	509	1210
ENSG00000226415	69	90	102	255	631	312
ENSG00000085491	1839	2573	2238	2182	1972	1462
ENSG00000173947	578	362	478	24	146	23
ENSG00000230434	0	0	0	0	0	0
ENSG00000230718	0	0	0	0	0	0
ENSG00000134198	392	595	385	556	69	247
ENSG00000235595	0	0	2	0	0	0
ENSG00000226053	0	0	0	0	24	0
ENSG00000226128	2	0	4	0	0	0
ENSG00000198799	460	429	236	551	268	931
ENSG00000279513	0	0	0	0	0	0
ENSG00000117620	815	1069	736	1260	1545	1767
ENSG00000280186	4	6	0	10	2	0
ENSG00000223906	0	0	0	0	0	0
ENSG00000162688	818	677	586	973	567	1143
